name,highway,maxspeed,travel_time,lanes_cleaned,capacity_vph
Teckstraße,residential,30,9.486946949080838,1,1800
Teckstraße,residential,30,14.553495004820638,1,1800
Kräheneckstraße,residential,30,7.30682646025247,1,1800
Kräheneckstraße,residential,30,11.153773156084378,1,1800
Kräheneckstraße,residential,30,1.8037069079424135,1,1800
Stolzeneckstraße,residential,30,11.256672595657086,1,1800
Kräheneckstraße,residential,30,7.30682646025247,1,1800
Kräheneckstraße,residential,30,1.8037069079424135,1,1800
Kräheneckstraße,residential,30,9.623690653672654,1,1800
Wildenburgstraße,residential,30,17.128630593621597,1,1800
Zwingenberger Straße,residential,30,6.355569473874641,1,1800
Wildenburgstraße,residential,30,17.128630593621597,1,1800
Zwingenberger Straße,residential,30,12.345137158575584,1,1800
Zwingenberger Straße,residential,30,6.355569473874641,1,1800
Kräheneckstraße,residential,30,9.623690653672654,1,1800
Zwingenberger Straße,residential,30,12.345137158575584,1,1800
Zwingenberger Straße,residential,30,10.102026135963484,1,1800
Landecker Straße,residential,30,14.130552573907861,1,1800
Zwingenberger Straße,residential,30,10.102026135963484,1,1800
Zwingenberger Straße,residential,30,19.092438233670343,1,1800
Kräheneckstraße,residential,30,11.153773156084375,1,1800
Kräheneckstraße,residential,30,11.789220999106458,1,1800
Burkheimer Straße,residential,30,11.991023740150148,1,1800
Hellensteinstraße,residential,30,26.588823155200448,1,1800
Sponeckstraße,residential,30,11.91532193826047,1,1800
Aubing-Ost-Straße,residential,30,5.169288823938179,1,1800
Hellensteinstraße,residential,30,12.730276329875757,1,1800
Hellensteinstraße,residential,30,8.79724363997641,1,1800
Stolzeneckstraße,residential,30,12.257478094079703,1,1800
Stolzeneckstraße,residential,30,3.9566015431640484,1,1800
Stolzeneckstraße,residential,30,12.257478094079703,1,1800
Sponeckplatz,residential,30,17.507142975433784,1,1800
Stolzeneckstraße,residential,30,11.256672595657086,1,1800
Stolzeneckstraße,residential,30,3.9566015431640484,1,1800
Landecker Straße,residential,30,14.130552573907863,1,1800
Sponeckplatz,residential,30,17.69590078259562,1,1800
Hellensteinstraße,residential,30,3.5229385962537916,1,1800
Hellensteinstraße,residential,30,32.50528088141347,1,1800
Zwingenberger Straße,residential,30,19.092438233670343,1,1800
Hellensteinstraße,residential,30,3.5229385962537916,1,1800
Hellensteinstraße,residential,30,12.730276329875757,1,1800
Reußensteinstraße,residential,30,14.132424372094839,1,1800
Reußensteinstraße,residential,30,14.132424372094839,1,1800
Reußensteinstraße,residential,30,5.434362748407201,1,1800
Burkheimer Straße,residential,30,4.0388546159771375,1,1800
Burkheimer Straße,residential,30,11.991023740150148,1,1800
Sponeckplatz,residential,30,17.69590078259562,1,1800
Feldmeierbogen,residential,30,7.082849144678449,1,1800
Mariabrunner Straße,residential,30,8.812134028428643,1,1800
Mariabrunner Straße,residential,30,15.149344663230647,1,1800
Kastelburgstraße,residential,30,21.31819487361132,1,1800
Mariabrunner Straße,residential,30,15.149344663230647,1,1800
Mariabrunner Straße,residential,30,8.996222970415497,1,1800
Kastelburgstraße,residential,30,25.130240334176314,1,1800
Kronwinkler Straße,living_street,,13.450543387643002,1,1800
Kronwinkler Straße,residential,30,15.035548923010845,1,1800
Kastelburgstraße,residential,30,37.376726538360465,1,1800
Kastelburgstraße,residential,30,25.130240334176317,1,1800
Industriestraße,residential,30,10.440554220754326,1,1800
Industriestraße,residential,30,10.098242593786104,1,1800
Lidelstraße,living_street,7,20.014486570412053,1,1800
"['Mariabrunner Straße', 'Huislerstraße']",residential,30,30.05017027435487,1,1800
Industriestraße,residential,30,6.579114368008119,1,1800
Industriestraße,residential,30,10.038969333432657,1,1800
Marzellgasse,residential,30,2.7572289250010633,1,1800
Marzellgasse,residential,30,8.11120447953419,1,1800
Spieltränkergasse,residential,30,14.539261708823377,1,1800
Marzellgasse,residential,30,8.111204479534193,1,1800
